,match_id,cs_diff_5,cs_diff_10,cs_diff_15,gold_diff_5,gold_diff_10,gold_diff_15,xp_diff_5,xp_diff_10,xp_diff_15,win
0,5085635210,-6,-14,-21.0,-482,-1120,-2202.0,-223,-821,-1441.0,False
1,5085624841,3,-9,-20.0,-699,-423,-372.0,-35,-320,-758.0,True
2,5084744149,2,1,-1.0,100,188,393.0,208,391,866.0,True
3,5084717980,-4,-7,-22.0,-77,188,-355.0,-51,-434,-650.0,False
4,5083862794,-5,21,4.0,74,213,-2189.0,124,533,-48.0,True
5,5083838718,0,5,21.0,312,364,1813.0,-165,-229,664.0,True
6,5083835160,2,13,,632,1450,,-31,629,,True
7,5083804706,8,-13,-43.0,-121,-906,-1899.0,309,-186,-579.0,True
8,5083027885,-3,-2,18.0,-42,-231,813.0,-19,187,716.0,False
9,5082973485,9,29,51.0,461,1542,2804.0,356,1315,2041.0,True
10,5082937712,7,19,28.0,177,528,923.0,-4,313,1029.0,True
11,5082901960,10,4,29.0,228,169,58.0,-199,-950,-504.0,False
12,5071415469,1,0,-1.0,49,-15,-152.0,-170,-221,-353.0,False
13,5061267750,10,21,33.0,612,1210,1224.0,160,517,613.0,True
14,5059387571,-1,-4,-17.0,-416,-867,-2353.0,-252,-600,-1745.0,False
15,5059344420,10,2,2.0,206,813,1250.0,308,144,378.0,False
16,5059246756,1,-21,-35.0,14,-693,-2091.0,73,-386,-665.0,False
17,5059217740,6,4,18.0,427,-109,374.0,486,21,296.0,True
18,5057244326,7,13,26.0,126,1034,1819.0,-24,17,393.0,True
19,5057189634,5,25,46.0,496,1679,2214.0,-118,344,501.0,True
20,5052663027,3,21,31.0,81,470,609.0,51,27,-121.0,True
21,5044743651,13,32,51.0,238,1039,1778.0,-60,326,988.0,False
22,5035786991,17,24,36.0,566,647,427.0,209,540,402.0,False
23,5035758608,3,7,12.0,-517,-250,710.0,-182,226,948.0,True
24,5028352217,0,-21,-39.0,148,-624,-1602.0,73,-912,-1421.0,True
25,5028332216,4,1,11.0,42,-187,52.0,99,80,473.0,True
26,5028321961,8,26,44.0,340,1340,2217.0,109,485,922.0,True
27,5026036010,-4,-12,-28.0,-124,-23,-40.0,72,128,67.0,False
28,5026011257,8,11,25.0,693,735,-223.0,56,498,517.0,False
29,5022283116,3,2,10.0,59,-947,51.0,-70,-381,151.0,True
30,5022262245,6,15,28.0,65,3,1201.0,-132,317,873.0,True
31,5022227532,-3,-19,-17.0,-143,-1261,-1791.0,120,-988,-997.0,False
32,5022024517,4,9,22.0,-254,-783,282.0,2,292,1390.0,True
33,5022007998,-4,-2,8.0,-108,-178,220.0,-80,-172,-404.0,False
34,5018349306,8,14,21.0,599,395,1098.0,543,505,633.0,False
35,5017930600,5,19,23.0,491,1182,1822.0,63,207,630.0,False
36,5017662708,9,4,9.0,519,477,-769.0,292,161,-278.0,False
37,5017486807,5,9,15.0,549,471,984.0,181,717,634.0,True
38,5017402682,6,26,29.0,551,1597,2602.0,33,207,336.0,True
39,5009426244,5,2,24.0,-727,-756,-371.0,140,-98,-41.0,False
40,5009247332,-5,7,3.0,267,513,640.0,-213,18,-316.0,True
41,5009232598,7,16,42.0,188,1370,3202.0,-139,216,1269.0,True
42,5006390342,0,-4,1.0,-11,-153,-143.0,-42,-470,-579.0,False
43,5005901952,-2,-2,9.0,-364,-339,-414.0,-27,-131,929.0,True
44,5004853598,1,6,-1.0,-533,-498,-1126.0,4,13,-326.0,False
45,5004847900,1,-2,-11.0,25,49,-397.0,20,-21,-439.0,True
46,5004409377,1,-4,-16.0,-7,-203,-376.0,-103,-366,-763.0,False
47,5003727773,2,5,24.0,258,-178,843.0,-21,94,1797.0,False
48,5003693715,6,11,21.0,112,-458,522.0,90,-625,410.0,True
